00 t4 t1	00 10 00
11 t4 t1	11 00 10
00 t4 t2	00 10 01
01 t4 t2	01 11 11
00 t4 t3	00 10 01
11 t4 t3	11 00 00
01 t4 t5	01 11 10
00 t4 t5	00 10 11
01 t4 t6	01 11 00
11 t4 t6	11 00 11
11 t5 t1	11 10 00
01 t5 t1	01 00 10
01 t5 t2	01 00 10
11 t5 t2	11 10 01
11 t5 t3	11 10 01
10 t5 t3	10 11 10
00 t5 t4	00 01 11
01 t5 t4	01 00 10
11 t5 t6	11 10 10
00 t5 t6	00 01 01
11 t6 t1	11 00 10
00 t6 t1	00 11 01
11 t6 t2	11 00 10
10 t6 t2	10 10 01
01 t6 t3	01 01 11
00 t6 t3	00 11 10
01 t6 t4	01 01 11
11 t6 t4	11 00 10
10 t6 t5	10 10 11
11 t6 t5	11 00 01
