A JS DS Y IS P .	A1_1 C1_2 B1_1 C35_1 B35_1 A35_2 A29_1 C29_1 B29_2 B24_2 C24_2 A24_2 C34_2 A34_2 B34_1 B16_2 C16_2 A16_1	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6
C V L J Q K O OS U .	B3_1 A3_1 C3_1 C21_2 A21_1 B21_2 C12_1 A12_2 B12_1 B10_2 A10_1 C10_1 B17_2 C17_1 A17_1 B11_1 C11_1 A11_1 B15_1 C15_1 A15_1 C40_2 A40_1 B40_1 A20_1 B20_1 C20_1	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9
I D IS L E B T .	C9_2 A9_2 B9_2 B4_2 C4_2 A4_2 B34_1 C34_1 A34_1 A12_1 B12_1 C12_2 C5_1 A5_2 B5_1 A2_1 C2_2 B2_2 B19_2 C19_2 A19_1	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7
NS IS OS R N E K .	C39_1 A39_2 B39_1 B34_2 C34_1 A34_2 B40_1 C40_2 A40_1 C18_2 A18_1 B18_1 C14_2 A14_2 B14_2 A5_2 C5_2 B5_1 C11_2 A11_2 B11_2	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7
N MS B HS AS X G Y W .	B14_2 C14_2 A14_1 A38_2 C38_2 B38_2 B2_2 C2_1 A2_1 B33_1 A33_2 C33_1 C26_2 A26_1 B26_1 B23_2 C23_1 A23_1 A7_2 B7_2 C7_1 C24_2 B24_1 A24_2 A22_2 C22_1 B22_1	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9
ES GS D DS BS CS .	C30_2 B30_2 A30_1 A32_1 B32_1 C32_1 B4_2 C4_1 A4_2 B29_2 A29_2 C29_2 B27_2 C27_1 A27_1 A28_2 B28_2 C28_2	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6
BS CS E OS R ES .	A27_1 B27_1 C27_1 C28_2 A28_2 B28_1 C5_1 A5_1 B5_2 C40_1 A40_1 B40_1 B18_2 C18_1 A18_1 C30_1 A30_2 B30_2	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6
DS LS G AS Y MS .	B29_1 C29_1 A29_1 B37_1 A37_1 C37_2 A7_2 C7_2 B7_2 B26_2 A26_2 C26_2 C24_2 B24_1 A24_2 C38_2 A38_2 B38_1	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6
Z A JS T OS L AS E O FS .	C25_2 A25_2 B25_1 B1_1 C1_2 A1_2 A35_2 C35_1 B35_1 C19_1 B19_2 A19_1 A40_2 B40_2 C40_2 A12_1 C12_1 B12_2 C26_2 A26_2 B26_2 C5_2 B5_1 A5_1 B15_1 A15_1 C15_1 A31_2 C31_1 B31_1	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10
GS G M H J A CS LS X .	B32_1 A32_1 C32_2 B7_1 C7_2 A7_2 C13_2 B13_1 A13_2 B8_1 C8_1 A8_1 A10_2 C10_2 B10_1 A1_1 C1_2 B1_1 A28_1 B28_2 C28_2 C37_1 B37_2 A37_1 C23_2 B23_2 A23_1	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9
