GS OS Z AS W G NS .	C32_2 A32_1 B32_2 B40_2 C40_2 A40_2 A25_2 C25_1 B25_2 C26_1 A26_1 B26_1 A22_1 B22_2 C22_1 B7_1 A7_2 C7_1 C39_2 A39_1 B39_1	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7
Y R X O Q D E V AS BS .	C24_1 B24_2 A24_1 B18_2 A18_1 C18_1 A23_2 B23_1 C23_2 C15_1 B15_1 A15_2 A17_1 C17_1 B17_1 C4_2 A4_2 B4_1 A5_2 B5_2 C5_2 C21_2 A21_2 B21_2 A26_2 B26_2 C26_1 C27_2 A27_1 B27_1	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10
BS NS T F HS IS ES O L .	C27_1 A27_1 B27_1 C39_2 A39_2 B39_1 C19_2 B19_2 A19_1 C6_2 A6_2 B6_2 B33_2 A33_1 C33_1 B34_2 C34_1 A34_1 B30_1 A30_1 C30_1 B15_2 C15_1 A15_1 A12_1 B12_1 C12_1	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9
J I R MS ES U NS AS GS W .	B10_2 A10_2 C10_1 C9_1 B9_2 A9_2 C18_2 B18_2 A18_1 B38_1 C38_1 A38_1 A30_2 B30_2 C30_1 C20_1 B20_2 A20_1 B39_2 A39_1 C39_2 B26_2 A26_2 C26_2 C32_2 A32_1 B32_2 A22_2 B22_1 C22_2	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10
OS X O P F .	A40_1 C40_2 B40_1 C23_1 B23_1 A23_2 B15_2 A15_1 C15_1 C16_2 A16_1 B16_1 C6_2 B6_1 A6_1	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5
B G J H W HS K .	C1_2 B1_2 A1_2 C7_2 B7_1 A7_2 A10_2 C10_2 B10_1 C8_2 B8_2 A8_2 A22_1 B22_1 C22_2 A33_1 B33_1 C33_1 A11_2 B11_2 C11_1	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7
IS G J X T E H .	A34_2 C34_1 B34_2 A7_1 B7_2 C7_1 A10_1 B10_1 C10_1 A23_1 B23_2 C23_2 B19_1 C19_2 A19_2 C5_2 B5_2 A5_1 C8_2 A8_2 B8_1	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7
BS W DS M ES CS P .	C27_1 B27_2 A27_2 A22_2 B22_2 C22_2 B29_2 A29_2 C29_1 C13_1 A13_1 B13_2 B30_1 A30_2 C30_1 C28_2 B28_1 A28_2 C16_2 A16_1 B16_2	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7
U R KS BS N Y J .	B20_2 C20_1 A20_1 C18_2 B18_2 A18_1 A36_2 C36_2 B36_1 C27_1 A27_1 B27_1 B14_2 C14_2 A14_1 A24_1 B24_2 C24_1 C10_2 A10_2 B10_1	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7
H D N OS AS .	A8_1 B8_2 C8_2 B4_2 A4_1 C4_1 B14_1 C14_2 A14_2 B40_1 A40_1 C40_1 B26_1 C26_2 A26_2	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5
